,Label,Edit,CommentCount,BodyLength,Reputation,Views,UpVotes,DownVotes,InlineCode,BlockCode,BlockCodeLine,Hyperlink,UnigramCost,BigramCost
84,1,1,6,34,5528,576,1253,63,2,0,0,0,12.055549198489363,12.273145786127914
85,1,0,0,72,91473,13493,3793,3687,2,2,25,0,12.416087597407623,12.093780532745646
86,1,0,0,49,1,14,0,0,0,1,1,0,12.64664673413785,12.236677725844537
87,1,0,0,54,2147,150,436,0,4,1,14,0,13.623349113842025,12.431873946305757
88,1,1,10,287,34973,1951,1481,136,8,0,0,1,12.898582716044034,12.26442697954079
89,1,0,6,45,33900,4197,639,3108,5,2,16,0,12.662339520510066,12.230842992187391
90,1,0,0,112,1887,161,8,4,7,0,0,0,12.739862852228582,12.190174829947663
91,0,0,0,61,2642,126,88,0,1,1,7,0,13.588256702207618,12.421603086127094
92,1,0,0,77,123002,28415,2821,1151,2,2,13,0,13.28985600098667,12.332261201309779
93,0,1,1,33,10203,596,195,80,0,2,9,0,13.874799756737147,12.545348907197
94,0,0,0,53,67907,5948,1966,35,1,2,11,0,13.869171003475897,12.490850151457249
95,1,1,4,28,33900,4197,639,3108,4,1,1,0,11.400104333160211,12.075350740327057
96,0,1,3,73,91473,13493,3793,3687,10,2,7,0,11.853830869224392,12.122914179941906
97,0,0,0,11,24129,8561,1312,3620,0,1,3,0,13.62317933357757,12.441542312900706
98,1,0,2,47,2147,150,436,0,1,2,11,0,14.339011557399095,12.566301001831869
99,0,1,0,22,423,134,279,4,0,1,1,0,12.381992780359676,12.357072300760287
100,1,1,0,74,33900,4197,639,3108,5,1,9,0,11.762584178223467,12.096605326599537
101,1,0,0,38,91473,13493,3793,3687,7,1,1,0,12.861321668734877,12.356572391652099
102,1,0,1,25,91473,13493,3793,3687,2,0,0,0,11.090817363868947,12.07198311218771
103,1,0,1,79,8363,1084,838,5,0,0,0,0,10.62187251395007,12.043424582875803
104,1,1,0,87,615041,126104,23439,1483,9,2,15,3,11.676511175776895,12.042279619240185
105,0,1,0,51,73982,14868,12512,5089,7,0,0,1,13.03626016588519,12.320616910284052
106,1,0,2,48,2662,274,78,93,0,1,16,0,12.39471078628993,11.43518859451643
107,0,1,6,142,18188,1719,758,17,5,1,6,2,11.032683490049353,12.004450123199945
108,1,0,1,31,96256,7785,2607,4845,0,1,5,1,12.1766026891002,12.182610805077356
109,0,0,2,27,585,54,19,3,0,2,6,0,13.166870673707425,12.264171006300234
110,0,1,0,78,91145,7312,3116,1277,2,2,14,2,14.978919369781277,12.509797279131504
111,0,0,0,60,498,120,73,10,0,2,21,0,15.34128061700372,12.626729555608536
112,1,0,0,27,3496,153,241,44,1,0,0,0,17.444993159985856,12.785926622622918
113,0,0,0,46,11365,745,152,50,2,0,0,0,15.120959700981983,12.591673072786046
114,1,1,4,188,2805,634,51,1,2,1,36,0,12.379835439677816,12.157962410870477
115,1,1,1,74,1927,110,8,8,3,0,0,2,10.946160447998459,12.020304986664817
116,0,0,2,60,1982,150,441,4,2,0,0,0,11.705279989615047,12.14249876430918
117,1,0,8,43,1410,134,60,3,3,2,5,1,12.81709706860867,12.321644390785272
118,1,1,2,327,136140,8521,16645,626,6,1,22,4,12.791863763344036,12.241417800661006
119,0,0,0,163,34973,1951,1481,136,5,0,0,1,11.697211569386832,11.800310317592475
120,0,0,1,42,30,4,2,0,4,0,0,1,11.016205065629345,12.186327037242362
121,1,0,2,59,59,4,1,0,3,0,0,1,10.70426852586582,11.965966681937482
122,1,1,0,484,18223,1897,101,602,2,0,0,1,10.300975327325474,11.991055172021635
123,1,0,0,28,11727,942,812,303,1,2,3,0,13.243756400831666,12.476234325125011
124,1,0,1,57,904,79,18,0,1,2,11,0,11.976328999130095,12.031732504508907
125,0,0,0,77,15706,1209,461,31,2,0,0,0,10.855285494385965,11.992199135463983
126,1,0,0,64,20632,3535,467,1063,7,0,0,0,10.57718968116043,11.908382152634424
127,1,1,2,135,823,317,47,19,8,0,0,2,11.377894961678649,12.011736004935193
128,1,0,0,108,46169,1135,720,13,3,0,0,1,10.374953288559878,11.970310676594599
129,1,1,0,230,615041,126104,23439,1483,3,3,30,0,14.879095201864576,12.531067173262297
130,0,0,1,56,444,38,28,5,0,1,25,0,11.855353511815013,12.11605588483332
131,1,0,2,31,1610,96,845,3,1,2,6,0,12.451047304517452,12.351650243668345
132,1,0,3,24,64392,5964,750,10085,0,0,0,0,11.102361007472503,12.100315900895756
133,1,0,0,142,23982,1103,8,2,1,1,10,0,12.441598280302927,12.279281739732404
134,1,0,0,277,67907,5948,1966,35,1,2,27,1,12.875291437488313,11.653418832915571
135,1,0,0,213,679,40,20,0,0,1,65,0,12.780674047444261,12.215028070682525
136,1,1,1,197,10876,925,714,1,0,9,26,0,13.483919535537787,12.346550568319616
137,0,1,0,109,91473,13493,3793,3687,2,2,34,0,14.609063028334855,12.443014940478934
138,1,0,3,78,72626,3728,1303,2355,5,2,7,0,11.669386878784726,12.266827984696166
139,1,1,2,81,825,71,104,6,0,0,0,3,9.617405890278945,11.708235494039526
140,1,0,0,99,3146,146,124,8,4,0,0,1,10.446021941948118,11.958262898013679
141,1,0,0,69,2413,223,64,118,0,1,4,0,11.066600140894819,12.250343280370595
142,1,1,4,148,867,51,4,6,7,1,6,2,11.521817155204085,12.11345115958106
143,1,0,6,126,2029,293,213,49,0,3,11,1,11.57639671602738,12.1063303618893
144,0,1,3,11,444,38,28,5,0,0,0,0,12.684858379827258,12.195398558525111
145,1,0,0,185,6325,1058,716,2,9,1,47,0,14.913125260405403,12.427528750918022
146,0,1,2,40,1860,170,797,181,2,0,0,0,10.246342097665678,11.949123381083115
147,0,0,0,15,519,61,1636,6,2,0,0,2,11.415055060232422,12.120951477768452
148,1,0,0,99,14514,1178,237,101,9,1,5,0,11.81818982599195,12.200571084156536
149,1,1,0,275,2413,223,64,118,0,7,37,0,14.078135838901504,12.379938941619137
150,0,0,0,27,1141,88,0,3,0,1,4,0,13.05546526014019,12.365738003901782
151,0,1,2,276,4207,494,116,11,5,1,20,0,12.232726803291923,12.082710794625731
152,0,1,3,194,26109,1510,745,224,4,5,28,0,12.419011847112081,12.186012190246467
153,0,1,1,70,423,87,27,14,0,3,15,0,16.179112023920883,12.612076271860019
154,1,0,1,60,16397,1159,439,114,0,3,13,0,13.219091569495077,12.242132821223747
155,0,0,0,31,1465,204,1038,144,0,1,2,0,12.77997069785901,12.201840834227152
156,0,0,7,76,1141,88,0,3,0,0,0,0,10.576006138796336,11.913541159900467
157,1,1,0,144,7385,901,7807,4,2,3,9,2,11.936989773588163,12.148223967154447
158,1,0,0,31,131,29,10,0,2,0,0,0,11.478389194665892,12.162501447964589
159,1,0,0,77,1618,348,284,11,4,0,0,1,11.251965882809166,11.970196085056935
160,0,1,1,66,24456,2696,153,2760,1,1,10,0,12.920450427918812,12.389940934914627
161,1,0,1,295,7789,820,823,247,1,1,1,0,12.497579190345487,12.208717960456969
162,0,1,0,100,21,11,3,0,0,2,13,0,13.228132291330363,12.479578950478079
163,1,1,2,75,5059,455,347,102,1,0,0,0,13.50913823142571,12.296890102384584
164,1,1,1,117,447,27,42,2,0,2,31,0,12.344230690665622,12.128980386546809
165,1,1,3,121,136140,8521,16645,626,7,0,0,3,11.235017800399548,12.02436544042269
166,1,0,0,93,27139,4972,928,3684,0,0,0,4,10.873408128423577,11.965364024912017
167,0,0,0,17,35699,2437,643,139,0,0,0,2,10.688977440019515,11.996990416873782
168,1,1,0,213,184341,41961,3940,32065,4,2,23,0,13.52935593145531,12.200453102676581
169,1,1,0,39,9876,603,94,3,0,1,6,0,14.10700032912752,12.477604496104336
170,0,0,0,35,3,0,0,0,0,1,1,0,11.053745656914888,12.022796993729408
171,1,0,0,73,67907,5948,1966,35,1,4,13,0,12.053189534119253,12.217290950444797
172,1,0,0,57,2414,507,985,12,0,1,6,0,10.639025768959153,11.96452570220939
173,0,0,0,20,11727,942,812,303,0,2,5,0,12.588613469722123,12.166951246684244
174,1,0,0,35,12251,916,185,24,0,2,15,0,13.613655573504778,12.30419464834965
175,0,0,0,54,65,36,22,0,0,1,14,0,13.433306204263099,12.275829295335951
176,0,0,1,128,60867,4957,6713,624,2,2,16,2,14.202413128956644,12.509456372669877
177,1,1,2,105,26109,1510,745,224,3,1,16,1,14.18211540809899,12.538153706665007
178,0,0,0,9,6728,546,1038,73,0,1,1,1,12.482653991321536,12.133504992682871
179,1,0,9,40,21876,2309,1560,96,0,1,1,1,11.629236154074945,12.147512562074429
180,1,1,2,8,1610,96,845,3,1,1,1,0,13.210611551650508,12.450671081269553
181,0,0,0,82,9780,1914,1803,216,0,3,12,0,12.830203459531738,12.333476848499705
182,1,1,0,60,60867,4957,6713,624,0,2,13,0,16.26060809931798,12.768011134061828
183,1,0,0,200,7141,1700,4685,77,11,2,38,0,13.380620364829095,12.24670598977704
184,0,0,0,56,22952,760,707,0,1,1,10,0,13.773886545947706,12.33455502544986
185,1,0,2,32,11365,745,152,50,2,0,0,0,14.81219605543587,12.435488698062736
186,0,0,0,10,1478,124,219,1,1,0,0,0,11.704256140616668,12.075332259366267
187,1,0,0,286,10876,925,714,1,0,3,51,0,13.269155816675918,12.375019593259383
188,1,1,1,153,89140,9450,370,322,1,4,16,0,11.788827244231255,12.164939667259006
189,1,0,1,49,150,12,60,2,1,0,0,2,11.324484175792817,12.099543946551687
190,1,1,0,214,681,78,10,2,0,0,0,0,10.438356289125785,11.952186631004503
191,0,0,0,35,1,13,0,0,1,0,0,0,12.052438059436069,12.099177104609666
192,1,0,0,300,11,12,0,0,0,1,68,0,14.703517704437147,12.331447539372625
193,1,0,1,76,7632,1107,446,41,3,0,0,2,10.512922130702819,11.858228585232807
194,1,0,0,49,169,37,16,1,1,1,1,0,11.139166977942022,12.050283334428489
195,1,0,0,59,163,15,0,0,0,2,5,0,11.279020671756353,12.121030130950986
196,1,0,0,76,473,25,39,1,2,0,0,0,11.233843996891983,12.057439922966878
197,1,1,2,85,298,19,14,0,0,2,10,0,14.622221275702795,12.434548559762423
198,1,0,1,117,3496,153,241,44,12,0,0,1,11.192775991437491,11.964592071386605
199,1,0,1,63,72,6,2,0,2,1,2,0,11.452446477770208,12.145017000250705
200,1,1,0,123,31021,2308,2441,310,4,0,0,2,11.117502930410149,12.103123669310342
201,1,0,0,37,18223,1897,101,602,0,0,0,1,11.134313663555748,12.156224763655793
202,0,0,0,57,11641,4469,812,4462,3,0,0,3,10.742744167324828,12.032673069186982
203,1,0,0,41,67907,5948,1966,35,3,2,9,0,12.366528445768575,12.25722137776186
204,1,1,0,186,2694,205,11,21,5,0,0,0,11.894966023465987,12.225212761885864
205,1,1,2,64,67907,5948,1966,35,7,2,10,0,12.71404198541493,12.147788806734559
206,1,1,1,29,248830,17880,10445,43694,2,0,0,0,11.594410728227516,12.07708714486551
207,1,0,0,64,39,6,1,0,0,1,2,0,10.710043616572982,11.9176488074452
208,0,0,1,106,63,7,11,0,0,0,0,0,12.585558561637683,12.085547537573758
209,1,0,0,28,248830,17880,10445,43694,1,1,4,0,12.41171186892897,12.186375825484193
210,0,0,1,39,132,20,11,0,0,1,4,0,13.664663060456917,12.3483464298728
211,1,1,2,83,136140,8521,16645,626,14,0,0,1,11.656877453571276,12.09615908729619
212,1,0,2,200,6337,1258,71,2,2,2,57,0,16.42451369387741,12.492632715256326
213,1,0,0,15,5059,455,347,102,1,0,0,0,12.568939247463664,12.306101038766236
214,1,0,0,69,67907,5948,1966,35,3,2,8,0,12.385445897481693,11.896488717847177
215,1,0,1,86,116919,22370,5817,15452,5,0,0,0,10.854128404083408,12.107433317859138
216,1,0,0,25,351,8,5,0,0,0,0,0,10.824935838255909,12.193932720952041
217,0,0,0,9,29645,607,343,5,0,1,1,0,14.768168991436797,12.663914428022208
218,0,0,0,7,16886,1054,156,103,0,1,1,0,14.492160035232747,12.540755876847701
219,1,0,0,23,67907,5948,1966,35,0,2,16,1,12.963984425877939,12.172096560920393
220,1,0,0,30,49475,6044,2189,1361,2,0,0,0,10.276941908628187,11.964935971722872
221,1,0,0,101,67907,5948,1966,35,2,2,12,0,12.946784034974769,12.10431822082357
222,1,0,1,285,2976,314,29,1,0,2,42,0,14.058365376800223,12.354116618986314
223,0,0,2,61,217,22,20,0,0,1,3,0,11.834312280278764,12.097360198742054
224,0,0,1,95,194,7,24,3,0,2,10,0,11.656164913205004,12.136883677987717
225,1,0,0,36,113,28,102,0,0,1,11,0,12.56017571073875,12.237007480213189
226,1,1,2,76,19749,4641,928,10739,3,0,0,1,10.882899425287329,12.10378687480673
227,1,1,1,346,26,2,13,0,4,0,0,0,12.737416791271748,12.23202680003498
228,1,0,0,36,5541,331,802,41,0,1,3,0,10.943834835246978,12.023466346133477
229,0,0,0,16,280,28,69,5,0,1,3,0,12.40947276184131,12.295379445178467
230,0,0,0,38,78,10,54,0,0,2,8,0,13.171172175170488,12.33230426125186
231,0,0,1,69,32432,3638,1092,1240,3,1,10,0,12.156903870035894,12.157014152897375
232,0,1,0,55,72892,5894,1420,2243,1,1,4,0,11.310743060461773,12.049340172668105
233,0,0,1,182,4701,474,272,10,10,2,7,0,11.541730514664794,12.110788181712804
234,1,0,0,56,189880,7317,684,5191,3,1,1,0,11.308452537106525,12.17398169253608
235,1,0,0,55,46,0,0,0,1,0,0,0,10.627318938473083,12.033995818149856
236,1,0,1,72,116919,22370,5817,15452,1,2,7,0,11.69411613647464,12.177710674088452
237,1,1,1,92,25173,1678,881,203,2,3,3,0,11.586933387910259,12.188511488854633
238,1,0,1,95,5460,292,67,2,0,2,23,0,15.97097462247137,12.696748330410704
239,1,1,0,86,15300,3211,3115,1510,3,1,19,2,12.029572855076877,12.125483316805838
240,1,1,0,298,879075,293021,5816,21692,17,7,27,3,11.426625396380127,12.10202585585658
241,1,1,0,40,14573,1255,973,181,3,1,1,1,11.925081058697462,12.23314710482166
242,0,0,0,35,133,16,10,0,0,1,7,0,13.626725900199071,12.231055488617363
243,0,0,2,109,3146,146,124,8,4,0,0,0,11.040466325734199,11.989060206097701
244,1,0,0,26,8935,1619,225,249,1,1,4,1,11.688318834680588,12.142955183970535
245,0,0,0,158,6609,595,1328,57,1,4,17,0,14.602572627006674,12.21492416252767
246,1,1,1,45,219,26,8,1,0,1,1,0,11.453805991091512,12.127150254845432
247,1,0,0,44,19981,1831,18,4,4,3,12,0,13.177239036778195,12.374799591442137
248,1,0,2,21,16993,4556,805,21,0,0,0,0,10.252110484257873,11.992259797167144
249,1,0,0,66,661,102,364,23,0,0,0,0,11.115397472914474,12.170388994639275
250,1,0,0,441,3218,294,157,1,5,0,0,0,10.10788910482554,11.862741343699035
251,0,0,0,516,22977,2296,1407,171,19,0,0,3,10.165106281053747,11.894783604907753
252,1,1,3,183,91473,13493,3793,3687,8,4,44,1,12.947001214935907,12.24011211175616
253,1,1,1,34,43904,7588,916,6523,0,0,0,0,11.11971132277388,12.018023024545462
254,1,1,5,229,4620,425,1507,4,7,3,23,0,12.074319703863942,12.14599716255936
255,1,0,1,64,12065,1202,76,218,0,2,13,0,13.347704782162362,12.34731764126689
256,1,0,0,259,2694,205,11,21,4,0,0,0,12.74519158553747,12.031786633649508
257,1,0,0,253,12065,1202,76,218,3,3,40,0,11.613309979837947,12.135539984921799
258,1,0,2,53,19981,1831,18,4,10,0,0,0,12.549852419902537,12.394463724454118
259,1,0,0,270,355,56,66,3,0,1,1,1,10.642800503456728,11.997966616090075
260,1,0,0,111,44660,8780,2964,3976,2,6,13,0,13.524397157060221,12.350129967327504
261,0,1,0,102,423,87,27,14,0,5,27,0,14.49340526590224,12.450066702662742
262,1,0,0,94,55304,6023,3987,7085,12,0,0,0,11.086189415376877,12.021681346141314
263,1,0,0,54,19981,1831,18,4,6,1,4,0,11.378507051717717,12.117265018865465
264,1,1,0,80,44692,6812,2466,3252,3,3,5,0,12.263898815327847,12.200726007800167
265,0,1,6,139,355,56,66,3,0,1,11,1,11.59614061366283,12.13891731910274
266,1,1,2,48,549,107,25,10,0,1,3,0,11.248384803320347,12.138595554438567
267,0,0,4,113,1499,165,17,19,1,1,24,0,12.508448614908637,12.22592285251278
268,1,0,0,16,13,9,0,0,0,0,0,0,11.334924200047125,12.205483121134929
269,1,1,0,75,12065,1202,76,218,3,2,3,0,11.984819608914199,12.225735586111915
270,1,0,0,61,36784,8759,1741,6571,2,3,4,0,11.973076892468725,12.241164071031495
271,1,0,0,15,95,7,4,0,2,0,0,0,11.890148369623743,12.004135271141445
272,0,1,8,79,2835,443,941,2,10,0,0,1,11.111955763917356,11.990769368967042
273,1,1,0,130,793,77,31,10,3,1,23,0,13.178987745962399,12.157828841664319
274,0,0,0,14,1429,295,78,36,1,1,1,0,11.954512682323159,12.276572949707703
275,1,0,0,32,23,43,0,0,0,1,9,0,12.510371632708047,12.355239751283056
276,0,0,4,80,4745,918,909,951,1,2,15,0,12.576580850431162,12.233408546019211
277,1,0,1,71,1376,224,84,23,4,0,0,0,11.721429262606737,12.229372743124383
278,1,0,0,272,49593,8898,1198,698,2,2,22,0,11.040227161121628,12.001867199318378
279,1,0,1,101,184341,41961,3940,32065,0,2,5,0,10.998232530704753,12.050621244763692
280,1,0,0,38,22879,6488,717,1198,1,2,11,0,15.626592527514655,12.58166505399647
281,1,0,2,44,60867,4957,6713,624,0,2,21,0,12.65893471204842,11.463508227753154
282,1,1,3,161,12065,1202,76,218,5,2,44,1,12.526159757392936,12.306929073683389
283,1,0,0,124,143615,11812,5750,44,0,1,8,1,11.311714950234894,11.769938078365039
284,1,0,1,29,16,1,0,0,0,2,7,0,13.506658061434607,12.236880182799734
285,0,0,1,52,1429,295,78,36,1,2,12,0,13.280184014016992,12.21853243113323
286,1,0,2,83,604,45,4,2,6,2,9,0,11.53155431153859,11.973995570043028
287,1,1,2,273,8361,455,94,235,3,4,12,0,11.439349157215263,12.109165286980533
288,0,0,1,27,3,3,0,0,0,1,9,0,10.939729369001375,12.084303381028146
289,0,1,0,77,513,51,354,2,2,2,7,1,11.667814026297899,12.129539719722095
290,0,0,0,2275,26200,1817,485,81,3,4,11,3,11.795554784953325,12.098891526539285
291,1,1,0,161,70566,7424,3579,1028,4,2,6,1,10.445334052567036,11.911115223980948
292,1,1,0,9,381,60,62,0,0,0,0,1,10.766385875365534,11.89100979452448
293,0,0,1,50,302,150,239,1,0,1,1,0,11.08894981954483,12.084414575761471
294,1,0,2,128,184,15,6,0,1,1,5,0,11.0135123406352,11.892863874804911
295,0,0,2,105,12065,1202,76,218,0,2,33,0,12.312535028857974,12.12276071033691
296,1,0,5,118,27836,5280,1590,178,3,3,10,0,12.026128371316812,12.257314264057731
297,1,0,0,58,274,40,15,1,2,0,0,1,10.74840783342944,12.01109173789272
298,0,0,0,44,2212,135,22,11,1,1,1,0,10.834547757599614,12.015030872530614
299,0,1,0,156,346,66,43,2,2,1,18,0,13.06238226886419,12.29435137033486
300,0,0,0,76,274,40,15,1,2,1,1,0,13.249257802825648,12.346728957901837
301,1,0,0,62,16094,746,250,76,0,3,4,0,12.338214200375905,12.278185090083229
302,1,0,1,43,44692,6812,2466,3252,0,2,4,0,12.122242232510573,11.445972013951899
303,1,1,1,91,615041,126104,23439,1483,2,2,24,2,12.682458115822424,12.200379638259573
304,0,0,1,42,68504,9900,2345,3000,0,1,4,0,11.640699704941513,12.055353397062929
305,1,0,0,214,189880,7317,684,5191,8,4,17,0,11.730298672365473,12.15156429257061
306,1,1,4,234,615041,126104,23439,1483,2,3,48,2,15.03927926913218,12.189114903160263
307,0,0,1,60,60867,4957,6713,624,1,2,9,0,13.703170930684392,11.859982791967916
308,1,1,0,33,933,89,61,1,2,0,0,0,11.583342621441806,12.136590103010077
309,0,1,0,22,61,5,4,0,0,3,3,1,11.347382549452343,11.99552435438802
310,1,1,0,273,1146,188,865,224,11,2,43,1,11.112900788032926,11.963429680839354
311,1,0,2,8,4745,918,909,951,0,1,1,0,14.872171591808618,12.617084326526815
312,1,0,1,51,615041,126104,23439,1483,2,2,4,0,13.176489713192646,12.381458248646464
313,1,0,0,63,586865,89361,7069,3864,4,1,3,0,10.64334470385253,11.955636726553408
314,1,1,5,78,615041,126104,23439,1483,6,3,15,4,11.402987578414246,11.99549442700315
315,1,1,2,62,578,121,759,4,0,1,21,1,11.161946381685247,11.970129491045915
316,1,0,0,106,1814,609,370,22,3,1,1,1,10.631584434185683,12.027145344634041
