,Label,Edit,CommentCount,BodyLength,Reputation,Views,UpVotes,DownVotes,InlineCode,BlockCode,BlockCodeLine,Hyperlink
69,0,0,1,63,123,27,11,0,1,1,6,0
70,1,0,5,24,14733,1931,1831,61,1,1,8,0
71,1,0,0,34,891,130,507,43,0,0,0,0
72,1,1,3,150,7188,872,468,333,0,2,10,0
73,0,0,0,22,331,13,9,0,3,0,0,2
74,1,0,0,37,36,3,6,0,5,0,0,1
75,0,0,0,14,354,41,9,1,0,0,0,1
76,1,0,4,71,595,84,8,3,0,3,3,0
77,1,1,4,65,15499,1214,2905,1040,1,2,12,0
78,0,1,0,84,1,3,0,0,0,1,3,1
79,0,0,15,76,269285,49182,5403,4754,1,1,20,0
80,1,0,19,115,13958,1304,3315,15,0,1,25,0
81,0,0,0,50,87,16,3,0,3,0,0,0
82,0,1,1,30,92651,10760,4411,1247,0,1,5,0
83,1,1,2,109,169,50,112,3,0,1,9,0
84,1,0,4,34,368,32,10,4,5,0,0,0
85,1,0,0,80,106,9,2,0,0,1,7,1
86,0,1,1,156,1,3,0,0,0,3,10,0
87,1,1,0,109,33900,4197,639,3108,3,2,18,0
88,1,0,0,25,305,74,178,4,0,0,0,0
89,1,0,0,63,1126,145,76,8,0,1,2,0
90,1,1,0,86,615041,126104,23439,1483,0,1,10,0
91,1,0,0,124,12268,837,1175,288,6,2,16,0
92,1,1,0,34,48,8,10,0,1,0,0,0
93,1,1,1,308,2217,156,279,150,14,1,28,0
94,0,0,2,123,31794,2384,2954,64,0,2,62,0
95,1,0,2,35,2677,452,27,50,0,1,19,0
96,1,1,0,124,724,91,360,26,5,1,5,0
97,1,0,1,149,119467,7383,1546,546,1,4,11,0
98,1,1,3,183,66828,4293,4060,31,2,2,36,0
99,0,1,1,326,2441,360,250,104,5,0,0,3
100,1,1,1,391,1586,259,123,24,5,4,12,4
101,0,0,0,110,6477,830,2042,245,0,2,16,0
102,1,0,0,59,11365,745,152,50,2,0,0,0
103,1,1,3,10,8986,1419,62,313,0,1,2,0
104,1,0,0,75,938,140,98,29,0,0,0,0
105,0,0,0,166,6026,483,765,678,0,2,49,0
106,1,1,2,211,10837,7193,1326,3819,4,2,11,1
107,1,0,1,23,2466,203,181,38,1,0,0,0
108,1,0,4,57,33900,4197,639,3108,1,1,16,0
109,1,0,0,152,765968,87167,4508,1542,2,2,20,0
110,0,0,3,46,111,18,26,0,0,1,10,0
111,1,0,3,22,1400,240,265,2,0,0,0,0
112,1,0,0,112,2054,136,688,4,5,1,10,0
113,1,1,7,70,924,55,0,5,0,1,17,0
114,1,1,0,73,25421,3219,1898,3232,1,2,11,1
115,0,0,0,39,4585,331,243,8,0,1,11,0
116,1,0,0,28,51859,8125,797,15,0,0,0,1
117,1,1,1,45,27066,3147,4430,2273,1,1,9,0
118,0,0,0,39,63,37,10,0,0,1,5,0
119,1,0,2,53,51859,8125,797,15,0,1,1,2
120,1,0,3,155,716,134,195,11,2,0,0,0
121,0,0,0,38,453,144,65,0,0,1,13,0
122,1,0,0,61,680,67,178,6,3,0,0,1
123,0,0,0,19,1,0,0,0,0,1,1,0
124,1,0,0,34,680,67,178,6,1,1,7,0
125,1,1,0,58,615041,126104,23439,1483,2,3,6,2
126,1,1,0,67,15,7,1,0,0,2,2,0
127,1,1,0,155,136140,8521,16645,626,6,0,0,2
128,1,0,0,93,673,121,263,8,1,0,0,0
129,1,0,2,50,31794,2384,2954,64,5,0,0,1
130,1,0,2,100,115910,10342,827,209,0,0,0,1
131,1,1,4,202,108,10,1,0,8,2,19,1
132,1,1,0,92,6639,1424,1993,1059,2,1,1,1
133,0,0,0,160,66,2,19,0,1,3,19,0
134,0,0,4,17,71,43,4,0,0,0,0,0
135,1,1,0,206,11641,4469,812,4462,5,4,4,0
136,1,0,0,31,16,1,0,0,0,1,3,0
137,1,0,1,261,329,40,18,1,3,1,97,1
138,1,1,0,97,615041,126104,23439,1483,6,1,11,3
139,0,0,0,71,33,10,13,0,0,1,13,0
140,1,0,0,4,3485,202,585,60,0,1,1,0
141,1,1,0,64,33900,4197,639,3108,8,2,2,0
142,0,0,0,54,2217,156,279,150,1,0,0,0
143,1,0,0,63,71,6,14,0,3,1,8,0
144,1,0,2,339,204854,18633,1897,2832,10,2,14,0
145,1,0,1,19,2489,236,54,19,3,1,1,0
146,0,0,0,16,924,55,0,5,0,1,2,0
147,1,1,0,91,2231,189,56,0,0,1,21,1
148,0,0,2,58,2489,236,54,19,0,1,1,0
149,1,0,0,113,71,6,14,0,4,1,10,0
150,1,1,8,155,615041,126104,23439,1483,7,2,26,3
151,1,1,0,51,26,2,0,0,0,1,7,1
152,1,1,3,29,15516,1473,968,609,0,2,2,0
153,1,0,1,42,350,32,1196,4,0,0,0,1
154,1,0,1,234,18223,1897,101,602,4,1,1,1
155,1,1,5,212,7385,901,7807,4,4,5,24,3
156,0,0,0,49,6314,1012,2100,843,1,1,6,0
157,1,1,0,59,144036,21385,8283,6276,4,1,11,2
158,1,0,4,53,312807,41861,16628,2518,2,1,15,0
159,1,0,0,21,188,18,57,14,4,0,0,0
160,1,0,3,85,1541,129,222,23,0,1,13,0
161,1,0,0,16,168,28,43,2,0,0,0,0
162,1,0,0,27,484,54,430,29,0,1,10,0
163,1,1,4,328,578,76,7,2,0,0,0,0
164,1,0,1,84,130384,5540,1343,1379,4,2,17,0
165,1,1,0,78,1630,115,315,21,2,1,24,0
166,1,0,0,107,13198,3141,207,7779,8,4,8,0
167,1,0,0,122,618,64,176,3,1,1,8,1
168,0,0,0,48,1174,101,59,8,0,1,18,0
169,1,0,0,14,1630,115,315,21,0,2,2,0
170,1,0,0,36,2672,191,151,11,0,1,1,0
171,1,0,0,37,1630,115,315,21,0,1,4,0
172,0,0,0,107,303,70,301,1,0,1,1,1
173,1,0,1,57,615041,126104,23439,1483,3,1,14,2
174,0,0,1,272,18009,1348,875,52,4,1,22,0
175,1,0,0,45,673,92,9,55,0,1,9,0
176,0,1,0,142,133,11,500,0,0,1,8,1
177,1,0,0,55,515,46,63,7,2,1,4,0
178,1,0,0,116,112902,9360,3825,17,3,2,16,0
179,1,0,0,64,11365,745,152,50,5,0,0,0
180,0,0,0,53,112902,9360,3825,17,1,2,15,0
181,0,0,0,18,106,4,33,0,0,1,1,0
182,1,0,0,12,885,101,79,6,0,1,1,0
183,1,1,2,198,34973,1951,1481,136,2,1,25,1
184,1,1,0,71,4549,299,1302,28,3,0,0,1
185,1,1,2,46,8910,376,0,0,1,2,2,1
186,1,0,1,149,1444,195,3,8,3,2,23,0
187,1,0,0,101,536,61,22,2,1,0,0,0
188,1,0,2,163,12065,1202,76,218,4,2,19,0
189,1,1,0,201,615041,126104,23439,1483,4,4,40,1
190,1,1,1,101,482,43,16,2,0,3,3,0
191,0,0,0,49,2311,122,369,31,2,1,3,0
192,1,1,2,58,143,9,0,0,0,1,11,0
193,0,0,0,95,46,2,9,0,0,1,20,0
194,1,0,0,38,47,16,0,0,0,0,0,0
195,1,0,2,114,592,21,10,1,0,0,0,0
196,1,1,2,574,4560,597,238,568,20,7,30,6
197,1,0,1,75,332,34,24,5,0,0,0,2
198,1,0,0,31,112902,9360,3825,17,1,2,7,0
199,0,0,0,41,709,87,225,0,0,1,7,0
200,1,0,1,73,184341,41961,3940,32065,0,0,0,0
201,1,0,0,96,5626,427,1528,0,0,1,19,1
202,1,1,0,174,1195,81,248,2,2,1,37,0
203,1,1,4,245,11694,2040,807,83,15,2,16,0
204,0,0,0,39,615,77,171,1,0,1,13,0
205,1,0,2,67,364,49,8,0,0,1,9,1
206,1,0,0,86,50,17,7,0,0,0,0,0
207,1,0,0,90,206,39,1,0,0,1,13,0
208,1,0,2,7,3019,254,170,38,0,1,1,1
209,0,1,4,229,93421,9185,7912,102,0,2,37,1
210,1,1,5,132,326,54,32,3,0,0,0,0
211,1,0,0,54,324,8,23,0,0,1,13,0
212,1,1,1,39,12487,826,27,13,1,1,2,1
213,0,0,0,34,108,11,9,0,1,0,0,0
214,0,0,4,87,431,106,25,0,1,0,0,0
215,0,1,1,311,26665,2926,2157,177,0,1,64,6
216,1,0,2,87,42543,6722,6046,915,1,1,2,1
217,1,0,7,122,7789,820,823,247,1,0,0,0
218,1,0,0,23,1444,195,3,8,1,0,0,0
219,1,0,0,120,16833,1242,416,37,0,1,40,1
220,1,1,0,106,7385,901,7807,4,0,3,8,4
221,0,1,0,68,14733,1931,1831,61,1,2,6,0
222,1,0,2,62,324,8,23,0,0,1,1,0
223,0,0,0,25,3674,610,7445,142,1,0,0,0
224,0,1,0,197,5228,384,3106,0,2,0,0,1
225,1,1,0,99,74108,7248,5063,858,0,1,17,1
226,0,0,0,74,3747,426,281,19,1,1,6,0
227,0,0,0,234,2217,156,279,150,5,3,3,0
228,1,0,0,75,266035,64481,10142,8528,3,1,19,0
229,0,0,0,46,12487,826,27,13,0,1,3,0
230,1,0,0,27,134,21,3,1,2,0,0,0
231,0,0,0,32,1588,228,202,71,0,0,0,1
232,1,0,4,1764,1541,129,222,23,0,4,102,0
233,0,0,0,1228,16881,1314,862,128,0,2,66,0
234,1,1,0,454,346,27,347,9,0,4,35,0
235,1,1,0,201,7385,901,7807,4,3,5,19,3
236,1,0,1,40,1730,120,120,4,0,1,1,1
237,1,1,1,238,6228,411,628,11,2,2,33,2
238,1,0,0,122,136140,8521,16645,626,5,0,0,3
239,1,0,0,127,8483,970,1815,10,5,0,0,2
240,1,0,1,69,312807,41861,16628,2518,0,1,4,0
241,1,1,6,153,266035,64481,10142,8528,2,3,32,0
242,1,0,0,72,15300,3211,3115,1510,5,1,1,0
243,0,0,0,56,12487,826,27,13,0,1,7,0
244,1,0,0,25,1342,63,35,17,0,1,1,0
245,1,1,1,56,3385,162,25,8,1,1,8,0
246,0,1,1,65,74108,7248,5063,858,0,1,18,1
247,0,0,2,80,12268,837,1175,288,1,1,12,0
248,0,0,0,94,26,1,43,0,2,1,12,1
249,0,0,0,32,1,6,0,0,0,1,12,0
250,1,0,0,23,391,40,64,7,1,0,0,0
251,1,1,2,99,383179,20227,18330,5892,13,1,4,0
252,1,0,1,23,943,40,82,16,3,0,0,0
253,0,1,5,111,416,43,78,1,0,2,4,0
254,1,1,1,47,26,1,43,0,0,1,8,0
255,0,0,0,66,124322,53684,2234,5803,0,1,5,0
256,0,0,3,122,22,3,4,0,0,2,14,0
257,0,1,0,8,1508,140,486,108,1,0,0,0
258,0,1,0,113,8021,567,737,2,3,0,0,5
259,1,0,0,29,75,271,347,0,0,0,0,0
260,1,0,0,156,1541,129,222,23,0,2,21,0
261,1,0,2,44,14733,1931,1831,61,3,2,5,0
262,1,1,2,116,3349,129,277,19,0,2,17,0
263,1,0,2,23,3998,447,61,76,2,0,0,0
264,1,1,4,70,312807,41861,16628,2518,5,2,5,0
265,1,0,0,16,1404,203,119,9,0,0,0,1
266,1,0,0,43,179,7,7,0,0,2,22,0
267,0,1,4,234,8788,2107,8668,329,1,1,25,2
268,1,1,4,69,143,16,2,0,0,0,0,2
269,1,1,6,72,413,74,773,4,0,1,17,0
270,1,0,0,36,680,67,178,6,2,2,2,0
271,0,0,0,69,605,68,156,1,0,0,0,0
272,1,0,1,19,309,15,53,1,0,1,2,0
273,1,0,1,52,312,16,10,3,1,0,0,0
274,1,0,1,47,337,111,5,0,0,1,11,0
275,1,1,3,87,14733,1931,1831,61,0,4,8,0
276,0,1,4,55,413,12,32,0,0,2,9,0
277,1,0,0,13,1444,195,3,8,1,1,1,0
278,1,1,7,299,1890,84,89,67,4,1,3,1
279,1,0,0,201,8935,1619,225,249,0,1,21,3
280,1,0,0,60,784,65,99,4,0,2,10,1
281,0,0,0,98,8910,376,0,0,3,1,11,0
282,1,0,3,30,8935,1619,225,249,0,1,3,1
283,0,0,0,77,203,27,2009,0,1,2,9,0
284,0,0,0,249,1560,417,210,2,19,2,16,0
285,1,0,0,26,31087,2216,446,113,5,0,0,0
286,0,0,0,69,8910,376,0,0,2,1,3,1
287,1,1,0,117,1396,79,8,14,3,0,0,2
288,1,0,2,161,337,111,5,0,0,1,25,0
289,1,1,2,374,1710,196,112,5,7,4,14,0
290,0,1,1,98,15300,3211,3115,1510,7,1,6,0
291,0,0,0,17,14733,1931,1831,61,0,1,1,0
292,1,1,0,17,74108,7248,5063,858,0,2,2,1
293,0,1,1,103,1710,196,112,5,4,2,4,1
294,1,1,2,111,1444,195,3,8,1,2,14,0
295,1,0,0,221,55035,4224,2176,130,4,4,15,0
296,1,0,1,317,86,6,22,0,0,1,26,3
297,1,0,5,143,266,21,7,4,2,0,0,0
298,1,0,3,100,266035,64481,10142,8528,0,2,31,0
299,1,0,0,45,1920,141,33,39,3,1,1,1
300,0,0,0,156,5568,686,358,9,1,3,32,1
301,0,0,0,126,86,6,22,0,0,4,16,2
302,1,0,0,148,675,71,143,17,2,2,19,2
303,1,0,3,13,701,37,18,5,0,1,1,0
304,0,0,0,94,586865,89361,7069,3864,7,1,1,0
305,0,0,0,96,8115,296,76,8,0,1,23,0
306,1,1,0,147,93421,9185,7912,102,0,4,13,3
307,1,0,2,33,1444,195,3,8,0,1,3,0
308,1,0,1,288,327,27,13,0,0,4,18,1
309,1,0,0,69,212283,29736,3259,18958,5,0,0,1
310,1,1,3,352,3674,610,7445,142,11,0,0,0
311,1,0,2,40,252249,22297,5881,962,2,1,3,0
312,1,0,0,433,11911,963,1803,123,0,1,107,1
313,1,1,2,66,1444,195,3,8,5,1,2,0
314,1,1,0,49,15300,3211,3115,1510,1,3,3,2
315,0,1,1,136,2617,275,151,9,2,3,6,2
316,1,0,0,127,731,39,442,15,1,0,0,0
317,0,1,0,78,15300,3211,3115,1510,3,0,0,0
318,1,0,0,25,10203,596,195,80,1,1,4,0
319,1,0,0,226,1337,61,2625,1,14,0,0,1
320,1,0,0,27,701,37,18,5,0,2,2,0
321,1,0,0,170,1541,129,222,23,0,1,23,0
322,0,0,0,115,1337,61,2625,1,4,0,0,2
323,1,0,1,85,505,54,25,7,0,1,7,1
324,1,0,1,71,88,22,29,0,6,0,0,0
325,0,1,1,251,228253,50273,1538,626,5,2,18,1
326,0,1,13,68,171867,10640,3675,1562,1,2,9,0
327,1,0,4,61,42001,1888,1728,671,0,2,10,0
328,0,0,3,165,14971,2256,13653,10,0,1,30,2
329,1,1,0,278,14971,2256,13653,10,0,1,50,2
330,1,0,0,124,1082,81,116,16,0,2,4,1
331,1,0,0,250,879075,293021,5816,21692,6,0,0,1
332,1,0,0,188,25600,7558,1364,21,2,1,22,5
333,0,0,1,72,5471,216,4461,28,1,1,3,1
334,1,0,0,36,25311,1995,465,58,0,0,0,2
335,1,0,0,75,5064,584,271,12,1,1,12,1
336,1,0,0,41,10360,4786,1639,11617,0,0,0,1
337,1,0,1,34,147,14,5,0,2,0,0,0
338,1,1,4,100,3888,321,52,11,0,1,13,1
339,1,0,0,71,2342,174,130,56,2,1,8,1
340,0,0,0,128,540,230,907,1,1,1,19,1
341,1,0,0,116,2342,174,130,56,2,2,12,2
342,0,1,0,195,8010,1219,2376,172,11,0,0,3
343,1,1,1,155,20908,11460,7958,28090,8,0,0,2
344,1,1,0,143,24359,1310,14,17,4,0,0,0
345,1,0,2,191,22977,2296,1407,171,4,0,0,2
